order_id,SKU,qty,x,y
124438,8N10W9,6,,
124438,2T1DJM,1,,
124438,QVFB0Q,1,,
124438,W25EZN,1,,
124438,W25EZN,1,,
124438,0LNUOV,1,,
124438,0LNUOV,1,,
124438,TNAHD4,1,,
124437,J3FI7N,1,,
124437,05W6TK,7,,
124437,M8W7TS,3,,
124437,05W6TK,5,,
124436,7BU1V7,1,,
124436,XUZJ74,2,,
124436,XUZJ74,2,,
124436,WH1BJI,1,,
124436,CD1NU9,2,,
124436,W25EZN,1,,
124436,PP9DNA,3,,
124436,QTMT7N,1,,
124436,JUUL5B,1,,
124436,AX7BJ8,2,,
124436,EO69NY,12,,
124436,EO69NY,12,,
124436,HCMI82,12,,
124436,CD1NU9,3,,
124436,CD1NU9,3,,
124436,8D9SAW,4,,
124436,QTMT7N,3,,
124436,JUUL5B,2,,
124436,JUUL5B,1,,
124436,ASG1IT,1,,
124435,7BU1V7,1,,
124435,7BU1V7,1,,
124435,2OAVPY,1,,
124435,SMMRK3,1,,
124435,SMMRK3,1,,
124435,SMMRK3,1,,
124435,JUUL5B,1,,
124435,5HQR89,1,,
124435,8D9SAW,2,,
124435,LXJQVG,1,,
124435,70EPUK,2,,
124435,70EPUK,1,,
124435,1D2ILZ,1,,
124435,XPZSZ1,2,,
124435,XPZSZ1,1,,
124435,HOUGRO,1,,
124434,YXGRMP,1,,
124434,YXGRMP,10,,
124434,YXGRMP,1,,
124434,YXGRMP,5,,
124434,YXGRMP,2,,
124434,YXGRMP,11,,
124433,D8AMD3,6,,
124432,QXS5D1,2,,
124431,1D2ILZ,6,,
124430,QXS5D1,3,,
124429,YKQY4X,2,,
124428,QXS5D1,1,,
124428,QXS5D1,1,,
124427,IPGA7X,3,,
124426,QXS5D1,2,,
124425,1D2ILZ,1,,
124424,QXS5D1,2,,
124423,H51IVV,1,,
124422,SMMRK3,2,,
124421,AKP0A7,1,,
124421,AKP0A7,1,,
124421,AKP0A7,1,,
124421,Z8KPP8,1,,
124420,W25EZN,1,,
124419,TNAHD4,3,,
124419,TNAHD4,2,,
124419,TNAHD4,2,,
124419,TNAHD4,1,,
124419,TNAHD4,1,,
124419,TNAHD4,1,,
124419,TNAHD4,1,,
124419,TNAHD4,1,,
124418,RUUOCB,1,,
124417,O7AXAK,1,,
124416,05W6TK,6,,
124415,05W6TK,1,,
124414,8N10W9,2,,
124413,YE890X,1,,
124412,2OAVPY,1,,
124412,SMMRK3,1,,
124412,SMMRK3,1,,
124412,8N10W9,1,,
124412,8N10W9,1,,
124412,NM6C73,1,,
124412,LXJQVG,1,,
124412,WRRW1W,1,,
124412,WRRW1W,1,,
124412,JEGRCL,1,,
124412,JEGRCL,1,,
124412,JEGRCL,1,,
124411,E5CISL,1,,
124411,E5CISL,1,,
124410,O9YFO8,1,,
124409,CU53FM,1,,
124409,CU53FM,1,,
124408,5HQR89,1,,
124407,56TC1Z,1,,
124407,56TC1Z,1,,
124407,56TC1Z,2,,
124407,56TC1Z,1,,
124407,56TC1Z,1,,
124406,2T1DJM,1,,
124405,U95NWB,1,,
124405,U95NWB,1,,
124405,U95NWB,1,,
124405,U95NWB,2,,
124405,32ZKOX,1,,
124405,O7TSVL,1,,
124405,O7TSVL,1,,
124404,37VA62,1,,
124403,QTMT7N,1,,
124402,6M2FJM,1,,
124401,SMMRK3,2,,
124401,XUZJ74,1,,
124401,SMMRK3,1,,
124401,SMMRK3,2,,
124401,SMMRK3,1,,
124401,SMMRK3,1,,
124401,9KHDG3,1,,
124401,9KHDG3,1,,
124401,TBCCF7,1,,
124401,TBCCF7,1,,
124401,AKP0A7,1,,
124401,AKP0A7,1,,
124401,AKP0A7,3,,
124401,WGHG3L,1,,
124401,WGHG3L,2,,
124401,WGHG3L,3,,
124401,I1KDJ0,1,,
124401,I1KDJ0,1,,
124401,WRRW1W,1,,
124401,RAUDQ6,1,,
124401,J3FI7N,1,,
124401,J3FI7N,1,,
124401,CD1NU9,1,,
124401,CD1NU9,1,,
124401,CD1NU9,1,,
124401,1ENECA,1,,
124401,AKP0A7,1,,
124401,AKP0A7,1,,
124401,AKP0A7,1,,
124401,WGHG3L,3,,
124401,WGHG3L,1,,
124401,I1KDJ0,2,,
124401,I1KDJ0,2,,
124401,F73ZE1,1,,
